priority_rank,recovery_priority_score,recovery_class,recommended_recovery_track,canonical_game_key,game_name,developer,game_url,in_mini_catalog,missing_rank_rows,rank1_missing_rows,top5_missing_rows,top10_missing_rows,top20_missing_rows,best_missing_rank,first_missing_rank_date,last_missing_rank_date,missing_rank_span_days,ranking_types_with_missing,categories_with_missing,sample_missing_dates,has_any_observed_play_count,first_observed_play_count_date,first_observed_play_count,first_observed_play_count_source,first_observed_after_first_missing_days,first_observed_after_last_missing_days,latest_observed_play_count_date,latest_observed_play_count,missing_rows_on_or_after_first_observation,catalog_first_seen_date,catalog_last_seen_date,catalog_best_rank,catalog_top_n_appearances,catalog_listing_play_count_rows,catalog_max_listing_play_count_observed,metrics_status,metrics_rows,first_metric_date,last_metric_date,no_history_evidence_bucket,page_gap_status,count_source_probe_status,alternate_endpoint_cdx_rows,endpoint_observations,candidates_with_cdx_rows,recovered_count_rows,current_live_metric_status,observed_categories,platform_flags,classification_confidence
488,785,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/donislaw/tree-tap-money-idle-clicker,Tree Tap - Money Idle Clicker,Donislaw,http://www.kongregate.com/games/Donislaw/tree-tap-money-idle-clicker,yes,1,0,1,1,1,4,2017-05-25,2017-05-25,0,newest (1),,2017-05-25,yes,2026-06-29,29783,live_metrics_json,3322,3322,2026-06-29,29783,0,2017-05-25,2017-05-25,4,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
489,785,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/mirchis/bank-adventure,Bank adventure,MirchiS,http://www.kongregate.com/games/MirchiS/bank-adventure,yes,1,0,1,1,1,4,2017-05-26,2017-05-26,0,newest (1),,2017-05-26,yes,2026-06-29,261,live_metrics_json,3321,3321,2026-06-29,261,0,2017-05-26,2017-05-26,4,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
490,785,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/mirakus/switch,SWITCH,Mirakus,http://www.kongregate.com/games/Mirakus/switch,yes,1,0,1,1,1,4,2017-06-04,2017-06-04,0,newest (1),,2017-06-04,yes,2026-06-29,213,live_metrics_json,3312,3312,2026-06-29,213,0,2017-06-04,2017-06-04,4,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
491,785,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/alexiar2/arkansas,Arkansas,Alexiar2,http://www.kongregate.com/games/Alexiar2/arkansas,yes,1,0,1,1,1,4,2017-06-15,2017-06-15,0,newest (1),,2017-06-15,yes,2026-06-29,22,live_metrics_json,3301,3301,2026-06-29,22,0,2017-06-15,2017-06-15,4,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
492,785,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/cubenom/maximum-damage,Maximum Damage,cubenom,http://www.kongregate.com/games/cubenom/maximum-damage,yes,1,0,1,1,1,4,2017-06-25,2017-06-25,0,newest (1),,2017-06-25,yes,2026-06-29,79,live_metrics_json,3291,3291,2026-06-29,79,0,2017-06-25,2017-06-25,4,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
493,785,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/enagamess/atlas-designer,Atlas Designer,Enagamess,http://www.kongregate.com/games/Enagamess/atlas-designer,yes,1,0,1,1,1,4,2017-07-03,2017-07-03,0,newest (1),,2017-07-03,yes,2026-06-29,297,live_metrics_json,3283,3283,2026-06-29,297,0,2017-07-03,2017-07-03,4,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
494,785,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/vitalitygames/extreme-offroad-cars,Extreme OffRoad Cars,vitalitygames,http://www.kongregate.com/games/vitalitygames/extreme-offroad-cars,yes,1,0,1,1,1,4,2017-07-12,2017-07-12,0,newest (1),,2017-07-12,yes,2026-06-29,338,live_metrics_json,3274,3274,2026-06-29,338,0,2017-07-12,2017-07-12,4,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
495,785,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/knfescapegame/knf-deluxe-house-escape,Knf Deluxe House Escape,knfescapegame,http://www.kongregate.com/games/knfescapegame/knf-deluxe-house-escape,yes,1,0,1,1,1,4,2017-07-20,2017-07-20,0,newest (1),,2017-07-20,yes,2026-06-29,285,live_metrics_json,3266,3266,2026-06-29,285,0,2017-07-20,2017-07-20,4,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
496,785,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/zerodevider/afterburner,Afterburner,zerodevider,http://www.kongregate.com/games/zerodevider/afterburner,yes,1,0,1,1,1,4,2017-07-29,2017-07-29,0,newest (1),,2017-07-29,yes,2023-09-13,250,count_source_probe,2237,2237,2026-06-29,330,0,2017-07-29,2017-07-29,4,1,0,,has_metrics,2,2023-09-13,2026-06-29,,,,,,,,,,,
497,785,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/top10newgames/ancient-palace,Ancient palace,top10newgames,http://www.kongregate.com/games/top10newgames/ancient-palace,yes,1,0,1,1,1,4,2017-08-05,2017-08-05,0,newest (1),,2017-08-05,yes,2026-06-29,379,live_metrics_json,3250,3250,2026-06-29,379,0,2017-08-05,2017-08-05,4,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
498,785,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/cockibo/walk-box-deluxe,Walk Box Deluxe,cockibo,http://www.kongregate.com/games/cockibo/walk-box-deluxe,yes,1,0,1,1,1,4,2017-08-11,2017-08-11,0,newest (1),,2017-08-11,yes,2026-06-29,272,live_metrics_json,3244,3244,2026-06-29,272,0,2017-08-11,2017-08-11,4,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
499,785,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/nofatenet/forbidden-trace-the-cliffs,Forbidden Trace - The Cliffs,NoFateNet,http://www.kongregate.com/games/NoFateNet/forbidden-trace-the-cliffs,yes,1,0,1,1,1,4,2017-08-17,2017-08-17,0,newest (1),,2017-08-17,yes,2026-06-29,1177,live_metrics_json,3238,3238,2026-06-29,1177,0,2017-08-17,2017-08-17,4,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
500,785,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/bullersweety/godclicker,GodClicker,BullerSweety,http://www.kongregate.com/games/BullerSweety/godclicker,yes,1,0,1,1,1,4,2017-08-23,2017-08-23,0,newest (1),,2017-08-23,yes,2026-06-29,8287,live_metrics_json,3232,3232,2026-06-29,8287,0,2017-08-23,2017-08-23,4,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
501,785,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/stav_s/the-forgotten-art,The Forgotten Art,Stav_S,http://www.kongregate.com/games/Stav_S/the-forgotten-art,yes,1,0,1,1,1,4,2017-08-25,2017-08-25,0,newest (1),,2017-08-25,yes,2026-06-29,1278,live_metrics_json,3230,3230,2026-06-29,1278,0,2017-08-25,2017-08-25,4,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
502,785,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/nsrgames/hunter-house-escape,Hunter House Escape,Nsrgames,http://www.kongregate.com/games/Nsrgames/hunter-house-escape,yes,1,0,1,1,1,4,2017-09-04,2017-09-04,0,newest (1),,2017-09-04,yes,2026-06-29,731,live_metrics_json,3220,3220,2026-06-29,731,0,2017-09-04,2017-09-04,4,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
503,785,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/lionel_ict/ss17-marta-pons,SS17 Marta Pons,lionel_ict,http://www.kongregate.com/games/lionel_ict/ss17-marta-pons,yes,1,0,1,1,1,4,2017-09-13,2017-09-13,0,newest (1),,2017-09-13,yes,2026-06-29,65,live_metrics_json,3211,3211,2026-06-29,65,0,2017-09-13,2017-09-13,4,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
504,785,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/spacegrid/indian-forest,Indian Forest,spacegrid,http://www.kongregate.com/games/spacegrid/indian-forest,yes,1,0,1,1,1,4,2017-09-20,2017-09-20,0,newest (1),,2017-09-20,yes,2026-06-29,147,live_metrics_json,3204,3204,2026-06-29,147,0,2017-09-20,2017-09-20,4,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
505,785,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/neal867/amv-god-of-the-new-world,クールカツ AMV God Of The New World,neal867,http://www.kongregate.com/games/neal867/amv-god-of-the-new-world,yes,1,0,1,1,1,4,2017-09-30,2017-09-30,0,newest (1),,2017-09-30,yes,2026-06-29,207,live_metrics_json,3194,3194,2026-06-29,207,0,2017-09-30,2017-09-30,4,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
506,785,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/rigbymark653/block-tower,Block Tower,rigbymark653,http://www.kongregate.com/games/rigbymark653/block-tower,yes,1,0,1,1,1,4,2017-10-08,2017-10-08,0,newest (1),,2017-10-08,yes,2026-06-29,212,live_metrics_json,3186,3186,2026-06-29,212,0,2017-10-08,2017-10-08,4,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
507,785,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/nsrgames/room-escape-18,Room Escape 18,Nsrgames,http://www.kongregate.com/games/Nsrgames/room-escape-18,yes,1,0,1,1,1,4,2017-10-15,2017-10-15,0,newest (1),,2017-10-15,yes,2026-06-29,191,live_metrics_json,3179,3179,2026-06-29,191,0,2017-10-15,2017-10-15,4,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
508,785,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/newgamess/18-wheeler-trucks-differences,18 Wheeler Trucks Differences,newgamess,http://www.kongregate.com/games/newgamess/18-wheeler-trucks-differences,yes,1,0,1,1,1,4,2017-10-24,2017-10-24,0,newest (1),,2017-10-24,yes,2026-06-29,90,live_metrics_json,3170,3170,2026-06-29,90,0,2017-10-24,2017-10-24,4,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
509,785,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/imsec/berinjela-snowball,Berinjela & SnowBall,imsec,http://www.kongregate.com/games/imsec/berinjela-snowball,yes,1,0,1,1,1,4,2017-11-06,2017-11-06,0,newest (1),,2017-11-06,yes,2026-06-30,153,live_metrics_json,3158,3158,2026-06-30,153,0,2017-11-06,2017-11-06,4,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
510,785,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/abhinav_kun/sea-is-below,Sea Is Below,Abhinav_kun,https://www.kongregate.com/games/Abhinav_kun/sea-is-below,yes,1,0,1,1,1,4,2019-08-25,2019-08-25,0,newest (1),,2019-08-25,yes,2026-06-30,531,live_metrics_json,2501,2501,2026-06-30,531,0,2019-08-25,2019-08-25,4,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
511,785,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/legenderyhero24/n,n,Legenderyhero24,http://www.kongregate.com/games/Legenderyhero24/n,yes,1,0,1,1,1,4,2021-01-25,2021-01-25,0,newest (1),,2021-01-25,yes,2026-06-29,1007,live_metrics_json,1981,1981,2026-06-29,1007,0,2021-01-25,2021-01-25,4,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
512,785,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/danimalstcgyt/dragon-clicker-0-2,Dragon Clicker 0.2,DanimalsTCGYT,https://www.kongregate.com/games/DanimalsTCGYT/dragon-clicker-0-2,yes,1,0,1,1,1,4,2021-11-12,2021-11-12,0,newest (1),,2021-11-12,yes,2026-06-29,2876,live_metrics_json,1690,1690,2026-06-29,2876,0,2021-11-12,2021-11-12,4,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
513,785,no_count_no_page_cdx,"Try broader URL variants, developer/account lists, search/category pages, or external evidence; checked game-page variants have no usable CDX rows.",www.kongregate.com/games/bystudio02/astroworlds,AstroWorlds,bystudio02,http://www.kongregate.com/games/bystudio02/astroworlds,yes,1,0,0,1,1,6,2014-08-29,2014-08-29,0,newest (1),,2014-08-29,no,,,,,,,,0,2014-08-29,2014-08-29,6,1,0,,no_cdx,0,,,no_game_page_or_endpoint_archives,no_page_cdx_rows,no_archived_endpoint_rows_observed,0,38,0,0,live_metrics_failed_http_404,,,
514,785,no_count_dynamic_placeholder,Broaden alternate source shapes; archived game pages defer counts to unarchived metrics.json endpoints.,www.kongregate.com/games/lemonindieg/peppa-zoo-decor,Peppa Zoo Decor,lemonindieg,http://www.kongregate.com/games/lemonindieg/peppa-zoo-decor,yes,1,0,0,1,1,6,2014-10-13,2014-10-13,0,newest (1),,2014-10-13,no,,,,,,,,0,2014-10-13,2014-10-13,6,1,0,,no_cdx,0,,,dynamic_placeholder_endpoint_archives_no_count,dynamic_metrics_placeholder,archived_endpoint_hit_no_count,18,49,3,0,live_metrics_failed_http_404,,,
515,785,no_count_no_page_cdx,"Try broader URL variants, developer/account lists, search/category pages, or external evidence; checked game-page variants have no usable CDX rows.",www.kongregate.com/games/mateusf29/teste-mark-2,Teste mark 2,MateusF29,http://www.kongregate.com/games/MateusF29/teste-mark-2,yes,1,0,0,1,1,6,2015-09-30,2015-09-30,0,newest (1),,2015-09-30,no,,,,,,,,0,2015-09-30,2015-09-30,6,1,0,,no_cdx,0,,,no_game_page_or_endpoint_archives,no_page_cdx_rows,no_archived_endpoint_rows_observed,0,44,0,0,live_metrics_failed_http_404,,,
516,785,no_count_dynamic_placeholder,Broaden alternate source shapes; archived game pages defer counts to unarchived metrics.json endpoints.,www.kongregate.com/games/omkara/bubble-shooter-rotation-xmas,Bubble Shooter Rotation Xmas,omkara,http://www.kongregate.com/games/omkara/bubble-shooter-rotation-xmas,yes,1,0,0,1,1,6,2015-12-18,2015-12-18,0,newest (1),,2015-12-18,no,,,,,,,,0,2015-12-18,2015-12-18,6,1,0,,no_cdx,0,,,dynamic_placeholder_endpoint_archives_no_count,dynamic_metrics_placeholder,archived_endpoint_hit_no_count,3,32,3,0,live_metrics_failed_http_404,,,
517,785,no_count_dynamic_placeholder,Broaden alternate source shapes; archived game pages defer counts to unarchived metrics.json endpoints.,www.kongregate.com/games/esaffer/the-super-casual-game,The Super Casual Game,esaffer,http://www.kongregate.com/games/esaffer/the-super-casual-game,yes,1,0,0,1,1,6,2016-03-16,2016-03-16,0,newest (1),,2016-03-16,no,,,,,,,,0,2016-03-16,2016-03-16,6,1,0,,no_cdx,0,,,dynamic_placeholder_no_exact_endpoint_archives,dynamic_metrics_placeholder,no_archived_endpoint_rows_observed,0,41,0,0,live_metrics_failed_http_404,,,
518,785,no_count_no_page_cdx,"Try broader URL variants, developer/account lists, search/category pages, or external evidence; checked game-page variants have no usable CDX rows.",www.kongregate.com/games/1207732597/quang,quang,1207732597,http://www.kongregate.com/games/1207732597/quang,yes,1,0,0,1,1,6,2016-06-22,2016-06-22,0,newest (1),,2016-06-22,no,,,,,,,,0,2016-06-22,2016-06-22,6,1,0,,no_cdx,0,,,no_game_page_or_endpoint_archives,no_page_cdx_rows,no_archived_endpoint_rows_observed,0,45,0,0,live_metrics_failed_http_404,,,
519,785,no_count_dynamic_placeholder,Broaden alternate source shapes; archived game pages defer counts to unarchived metrics.json endpoints.,www.kongregate.com/games/snowdongames/endgame,EndGame,SnowdonGames,http://www.kongregate.com/games/SnowdonGames/endgame,yes,1,0,0,1,1,6,2016-07-27,2016-07-27,0,newest (1),,2016-07-27,no,,,,,,,,0,2016-07-27,2016-07-27,6,1,0,,no_cdx,0,,,dynamic_placeholder_no_exact_endpoint_archives,dynamic_metrics_placeholder,no_archived_endpoint_rows_observed,0,31,0,0,live_metrics_failed_http_404,,,
520,785,no_count_no_page_cdx,"Try broader URL variants, developer/account lists, search/category pages, or external evidence; checked game-page variants have no usable CDX rows.",www.kongregate.com/games/thebartyparty/wills-quest-for-cheese,Will's Quest For Cheese,thebartyparty,http://www.kongregate.com/games/thebartyparty/wills-quest-for-cheese,yes,1,0,0,1,1,6,2016-10-18,2016-10-18,0,newest (1),,2016-10-18,no,,,,,,,,0,2016-10-18,2016-10-18,6,1,0,,no_cdx,0,,,no_game_page_or_endpoint_archives,no_page_cdx_rows,no_archived_endpoint_rows_observed,0,34,0,0,live_metrics_failed_http_404,,,
521,785,no_count_no_page_cdx,"Try broader URL variants, developer/account lists, search/category pages, or external evidence; checked game-page variants have no usable CDX rows.",www.kongregate.com/games/iptnzw/kuzini-comgnom,Kuzini.comgnom,iPTNZW,http://www.kongregate.com/games/iPTNZW/kuzini-comgnom,yes,1,0,0,1,1,6,2016-10-24,2016-10-24,0,newest (1),,2016-10-24,no,,,,,,,,0,2016-10-24,2016-10-24,6,1,0,,no_cdx,0,,,no_game_page_or_endpoint_archives,no_page_cdx_rows,no_archived_endpoint_rows_observed,0,24,0,0,live_metrics_failed_http_404,,,
522,785,no_count_dynamic_placeholder,Broaden alternate source shapes; archived game pages defer counts to unarchived metrics.json endpoints.,www.kongregate.com/games/natalibt/american-cars-memory,American Cars Memory,natalibt,http://www.kongregate.com/games/natalibt/american-cars-memory,yes,1,0,0,1,1,6,2017-05-25,2017-05-25,0,newest (1),,2017-05-25,no,,,,,,,,0,2017-05-25,2017-05-25,6,1,0,,no_cdx,0,,,dynamic_placeholder_endpoint_archives_no_count,dynamic_metrics_placeholder,archived_endpoint_hit_no_count,534,87,55,0,live_metrics_failed_http_404,,,
523,785,no_count_dynamic_placeholder,Broaden alternate source shapes; archived game pages defer counts to unarchived metrics.json endpoints.,www.kongregate.com/games/thunderstorm38/naruto-suspend,Naruto Suspend,thunderstorm38,http://www.kongregate.com/games/thunderstorm38/naruto-suspend,yes,1,0,0,1,1,6,2017-07-28,2017-07-28,0,newest (1),,2017-07-28,no,,,,,,,,0,2017-07-28,2017-07-28,6,1,0,,no_cdx,0,,,dynamic_placeholder_endpoint_archives_no_count,dynamic_metrics_placeholder,archived_endpoint_hit_no_count,3,39,3,0,live_metrics_failed_http_404,,,
524,785,no_count_no_page_cdx,"Try broader URL variants, developer/account lists, search/category pages, or external evidence; checked game-page variants have no usable CDX rows.",www.kongregate.com/games/thunderstorm38/extreme-battlefield,Extreme Battlefield,thunderstorm38,http://www.kongregate.com/games/thunderstorm38/extreme-battlefield,yes,1,0,0,1,1,6,2017-07-29,2017-07-29,0,newest (1),,2017-07-29,no,,,,,,,,0,2017-07-29,2017-07-29,6,1,0,,no_cdx,0,,,no_game_page_cdx_alt_archives_no_count,no_page_cdx_rows,archived_endpoint_hit_no_count,3,42,3,0,live_metrics_failed_http_404,,,
525,785,no_count_dynamic_placeholder,Broaden alternate source shapes; archived game pages defer counts to unarchived metrics.json endpoints.,www.kongregate.com/games/phacanu/seasonal-farming,Seasonal Farming,phacanu,http://www.kongregate.com/games/phacanu/seasonal-farming,yes,1,0,0,1,1,6,2017-08-25,2017-08-25,0,newest (1),,2017-08-25,no,,,,,,,,0,2017-08-25,2017-08-25,6,1,0,,no_cdx,0,,,dynamic_placeholder_no_exact_endpoint_archives,dynamic_metrics_placeholder,no_archived_endpoint_rows_observed,0,53,0,0,live_metrics_failed_http_404,,,
526,785,no_count_dynamic_placeholder,Broaden alternate source shapes; archived game pages defer counts to unarchived metrics.json endpoints.,www.kongregate.com/games/mobiltr/blocky-warrior,Blocky Warrior,mobilTR,http://www.kongregate.com/games/mobilTR/blocky-warrior,yes,1,0,0,1,1,6,2017-11-06,2017-11-06,0,newest (1),,2017-11-06,no,,,,,,,,0,2017-11-06,2017-11-06,6,1,0,,no_cdx,0,,,dynamic_placeholder_endpoint_archives_no_count,dynamic_metrics_placeholder,archived_endpoint_hit_no_count,6,33,6,0,live_metrics_failed_http_404,,,
527,775,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/greensatellite/trimps-preview,Trimps Preview,GreenSatellite,http://www.kongregate.com/games/GreenSatellite/trimps-preview,yes,15,0,0,3,15,8,2015-07-26,2016-11-08,471,category_top (15),idle (15),2015-07-26; 2015-10-03; 2015-10-08; 2015-11-01; 2015-11-08; 2015-11-12; 2015-11-13; 2016-04-03,yes,2026-06-29,385675,live_metrics_json,3991,3520,2026-06-29,385675,0,2015-07-26,2016-11-08,8,15,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
528,770,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/ymar2011/cage-bird,Cage Bird,Ymar2011,http://www.kongregate.com/games/Ymar2011/cage-bird,yes,2,0,1,1,2,5,2014-10-03,2014-10-04,1,newest (2),,2014-10-03; 2014-10-04,yes,2026-06-29,232,live_metrics_json,4287,4286,2026-06-29,232,0,2014-10-03,2014-10-04,5,2,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
529,770,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/kixeye/battle-pirates,Battle Pirates,KIXEYE,https://www.kongregate.com/en/games/KIXEYE/battle-pirates,yes,2,0,1,1,2,5,2014-10-17,2014-10-18,1,newest (2),,2014-10-17; 2014-10-18,yes,2022-10-26,2448592,count_source_probe,2931,2930,2026-07-04,2600000,0,2014-10-17,2026-07-04,5,6,4,2600000,has_metrics,2,2022-10-26,2026-06-29,,,,,,,,,,,
530,765,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/omgnoob191/tabletop-idle,Tabletop idle,omgnoob191,http://www.kongregate.com/games/omgnoob191/tabletop-idle,yes,9,0,0,4,9,10,2017-05-27,2017-06-18,22,most_played (9),,2017-05-27; 2017-05-28; 2017-05-30; 2017-06-03; 2017-06-06; 2017-06-08; 2017-06-10; 2017-06-17,yes,2020-07-16,509506,count_source_probe,1146,1124,2025-04-02,533442,0,2017-05-27,2017-06-18,10,9,0,,has_metrics,6,2020-07-16,2025-04-02,,,,,,,,,,,
531,760,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/heletrico/max-dificult-x,max dificult x,heletrico,http://www.kongregate.com/games/heletrico/max-dificult-x,yes,1,0,1,1,1,5,2014-08-22,2014-08-22,0,newest (1),,2014-08-22,yes,2026-06-30,64,live_metrics_json,4330,4330,2026-06-30,64,0,2014-08-22,2014-08-22,5,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
532,760,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/gamedev408/color-cube-clicker,Color Cube Clicker,GameDev408,http://www.kongregate.com/games/GameDev408/color-cube-clicker,yes,1,0,1,1,1,5,2014-08-26,2014-08-26,0,newest (1),,2014-08-26,yes,2026-06-30,1104,live_metrics_json,4326,4326,2026-06-30,1104,0,2014-08-26,2014-08-26,5,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
533,760,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/idummy/tic-tac-toe,Tic Tac Toe,iDummy,http://www.kongregate.com/games/iDummy/tic-tac-toe,yes,1,0,1,1,1,5,2014-08-29,2014-08-29,0,newest (1),,2014-08-29,yes,2026-06-30,44,live_metrics_json,4323,4323,2026-06-30,44,0,2014-08-29,2014-08-29,5,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
534,760,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/nuclearnapalm/the-beginning,The Beginning,NuclearNapalm,http://www.kongregate.com/games/NuclearNapalm/the-beginning,yes,1,0,1,1,1,5,2014-09-02,2014-09-02,0,newest (1),,2014-09-02,yes,2026-06-30,152,live_metrics_json,4319,4319,2026-06-30,152,0,2014-09-02,2014-09-02,5,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
535,760,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/thepodge/no-brakes,No Brakes,thepodge,http://www.kongregate.com/games/thepodge/no-brakes,yes,1,0,1,1,1,5,2014-09-05,2014-09-05,0,newest (1),,2014-09-05,yes,2026-06-30,1151,live_metrics_json,4316,4316,2026-06-30,1151,0,2014-09-05,2014-09-05,5,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
536,760,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/tacogames/temple,Temple,TacoGames,http://www.kongregate.com/games/TacoGames/temple,yes,1,0,1,1,1,5,2014-09-12,2014-09-12,0,newest (1),,2014-09-12,yes,2026-06-30,433,live_metrics_json,4309,4309,2026-06-30,433,0,2014-09-12,2014-09-12,5,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
537,760,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/fiore1996/pushing-arena,Pushing Arena,fiore1996,http://www.kongregate.com/games/fiore1996/pushing-arena,yes,1,0,1,1,1,5,2014-09-14,2014-09-14,0,newest (1),,2014-09-14,yes,2026-06-30,590,live_metrics_json,4307,4307,2026-06-30,590,0,2014-09-14,2014-09-14,5,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
538,760,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/diggidy27/heroic-escape,Heroic Escape,diggidy27,http://www.kongregate.com/games/diggidy27/heroic-escape,yes,1,0,1,1,1,5,2014-09-19,2014-09-19,0,newest (1),,2014-09-19,yes,2026-06-30,141,live_metrics_json,4302,4302,2026-06-30,141,0,2014-09-19,2014-09-19,5,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
